Kernel Name,Kernel Size,Section,Metric Name,Metric Unit,Value
sgemm_small,6144.0,launch_statistics,Shared Memory Configuration Size,Kbyte,102.40
sgemm_small,6144.0,launch_statistics,Driver Shared Memory Per Block,Kbyte/block,1.02
sgemm_small,6144.0,launch_statistics,Dynamic Shared Memory Per Block,byte/block,0
sgemm_small,6144.0,launch_statistics,Static Shared Memory Per Block,Kbyte/block,4.10
sgemm_small,6144.0,launch_statistics,# SMs,SM,8
sgemm_small,6144.0,launch_statistics,Threads,thread,9437184
sgemm_small,6144.0,launch_statistics,Uses Green Context,,0
sgemm_small,6144.0,launch_statistics,Waves Per SM,,1152
sgemm_small,6144.0,occupancy,Block Limit SM,block,16
sgemm_small,6144.0,occupancy,Block Limit Registers,block,16
sgemm_small,6144.0,occupancy,Block Limit Shared Mem,block,20
sgemm_small,6144.0,occupancy,Block Limit Warps,block,24
sgemm_small,6144.0,occupancy,Theoretical Active Warps per SM,warp,32
sgemm_small,6144.0,occupancy,Theoretical Occupancy,%,66.67
sgemm_small,6144.0,occupancy,Achieved Occupancy,%,66.57
sgemm_small,6144.0,occupancy,Achieved Active Warps Per SM,warp,31.95
sgemm_small,6144.0,gpu_and_memory_workload,Average L1 Active Cycles,cycle,2561336008.25
sgemm_small,6144.0,gpu_and_memory_workload,Total L1 Elapsed Cycles,cycle,20436749728
sgemm_small,6144.0,gpu_and_memory_workload,Average L2 Active Cycles,cycle,2552446443.50
sgemm_small,6144.0,gpu_and_memory_workload,Total L2 Elapsed Cycles,cycle,10104236176
sgemm_small,6144.0,gpu_and_memory_workload,Average SM Active Cycles,cycle,2561336008.25
sgemm_small,6144.0,gpu_and_memory_workload,Total SM Elapsed Cycles,cycle,20436749728
sgemm_small,6144.0,gpu_and_memory_workload,Average SMSP Active Cycles,cycle,2562572178.62
sgemm_small,6144.0,gpu_and_memory_workload,Total SMSP Elapsed Cycles,cycle,81746998912
sgemm_small,7168.0,speed_of_light,SM Frequency,Mhz,408.00
sgemm_small,7168.0,speed_of_light,Elapsed Cycles,cycle,6877798687
sgemm_small,7168.0,speed_of_light,Memory Throughput,%,25.51
sgemm_small,7168.0,speed_of_light,Duration,s,16.86
sgemm_small,7168.0,speed_of_light,L1/TEX Cache Throughput,%,25.15
sgemm_small,7168.0,speed_of_light,L2 Cache Throughput,%,22.43
sgemm_small,7168.0,speed_of_light,SM Active Cycles,cycle,6717105638
sgemm_small,7168.0,speed_of_light,Compute (SM) Throughput,%,12.23
sgemm_small,7168.0,launch_statistics,Block Size,,64
sgemm_small,7168.0,launch_statistics,Function Cache Configuration,,CachePreferNone
sgemm_small,7168.0,launch_statistics,Grid Size,,200704
sgemm_small,7168.0,launch_statistics,Registers Per Thread,register/thread,60
sgemm_small,7168.0,launch_statistics,Shared Memory Configuration Size,Kbyte,102.40
sgemm_small,7168.0,launch_statistics,Driver Shared Memory Per Block,Kbyte/block,1.02
sgemm_small,7168.0,launch_statistics,Dynamic Shared Memory Per Block,byte/block,0
sgemm_small,7168.0,launch_statistics,Static Shared Memory Per Block,Kbyte/block,4.10
sgemm_small,7168.0,launch_statistics,# SMs,SM,8
sgemm_small,7168.0,launch_statistics,Threads,thread,12845056
sgemm_small,7168.0,launch_statistics,Uses Green Context,,0
sgemm_small,7168.0,launch_statistics,Waves Per SM,,1568
sgemm_small,7168.0,occupancy,Block Limit SM,block,16
sgemm_small,7168.0,occupancy,Block Limit Registers,block,16
sgemm_small,7168.0,occupancy,Block Limit Shared Mem,block,20
sgemm_small,7168.0,occupancy,Block Limit Warps,block,24
sgemm_small,7168.0,occupancy,Theoretical Active Warps per SM,warp,32
sgemm_small,7168.0,occupancy,Theoretical Occupancy,%,66.67
sgemm_small,7168.0,occupancy,Achieved Occupancy,%,66.31
sgemm_small,7168.0,occupancy,Achieved Active Warps Per SM,warp,31.83
sgemm_small,7168.0,gpu_and_memory_workload,Average L1 Active Cycles,cycle,6717105638
sgemm_small,7168.0,gpu_and_memory_workload,Total L1 Elapsed Cycles,cycle,52970344152
sgemm_small,7168.0,gpu_and_memory_workload,Average L2 Active Cycles,cycle,6702519512.25
sgemm_small,7168.0,gpu_and_memory_workload,Total L2 Elapsed Cycles,cycle,27511194752
sgemm_small,7168.0,gpu_and_memory_workload,Average SM Active Cycles,cycle,6717105638
sgemm_small,7168.0,gpu_and_memory_workload,Total SM Elapsed Cycles,cycle,52970344152
sgemm_small,7168.0,gpu_and_memory_workload,Average SMSP Active Cycles,cycle,6835515250.94
sgemm_small,7168.0,gpu_and_memory_workload,Total SMSP Elapsed Cycles,cycle,211881376608
sgemm_small,8192.0,speed_of_light,SM Frequency,Mhz,407.99
sgemm_small,8192.0,speed_of_light,Elapsed Cycles,cycle,21556704540
sgemm_small,8192.0,speed_of_light,Memory Throughput,%,10.92
sgemm_small,8192.0,speed_of_light,Duration,s,52.84
sgemm_small,8192.0,speed_of_light,L1/TEX Cache Throughput,%,11.36
sgemm_small,8192.0,speed_of_light,L2 Cache Throughput,%,10.92
sgemm_small,8192.0,speed_of_light,SM Active Cycles,cycle,22182682450.12
sgemm_small,8192.0,speed_of_light,Compute (SM) Throughput,%,4.80
sgemm_small,8192.0,launch_statistics,Block Size,,64
sgemm_small,8192.0,launch_statistics,Function Cache Configuration,,CachePreferNone
sgemm_small,8192.0,launch_statistics,Grid Size,,262144
sgemm_small,8192.0,launch_statistics,Registers Per Thread,register/thread,60
sgemm_small,8192.0,launch_statistics,Shared Memory Configuration Size,Kbyte,102.40
sgemm_small,8192.0,launch_statistics,Driver Shared Memory Per Block,Kbyte/block,1.02
sgemm_small,8192.0,launch_statistics,Dynamic Shared Memory Per Block,byte/block,0
sgemm_small,8192.0,launch_statistics,Static Shared Memory Per Block,Kbyte/block,4.10
sgemm_small,8192.0,launch_statistics,# SMs,SM,8
sgemm_small,8192.0,launch_statistics,Threads,thread,16777216
sgemm_small,8192.0,launch_statistics,Uses Green Context,,0
sgemm_small,8192.0,launch_statistics,Waves Per SM,,2048
sgemm_small,8192.0,occupancy,Block Limit SM,block,16
sgemm_small,8192.0,occupancy,Block Limit Registers,block,16
sgemm_small,8192.0,occupancy,Block Limit Shared Mem,block,20
sgemm_small,8192.0,occupancy,Block Limit Warps,block,24
sgemm_small,8192.0,occupancy,Theoretical Active Warps per SM,warp,32
sgemm_small,8192.0,occupancy,Theoretical Occupancy,%,66.67
sgemm_small,8192.0,occupancy,Achieved Occupancy,%,66.60
sgemm_small,8192.0,occupancy,Achieved Active Warps Per SM,warp,31.97
sgemm_small,8192.0,gpu_and_memory_workload,Average L1 Active Cycles,cycle,22182682450.12
sgemm_small,8192.0,gpu_and_memory_workload,Total L1 Elapsed Cycles,cycle,201246270480
sgemm_small,8192.0,gpu_and_memory_workload,Average L2 Active Cycles,cycle,23204544247.50
sgemm_small,8192.0,gpu_and_memory_workload,Total L2 Elapsed Cycles,cycle,86226818160
sgemm_small,8192.0,gpu_and_memory_workload,Average SM Active Cycles,cycle,22182682450.12
sgemm_small,8192.0,gpu_and_memory_workload,Total SM Elapsed Cycles,cycle,201246270480
sgemm_small,8192.0,gpu_and_memory_workload,Average SMSP Active Cycles,cycle,21492052740.38
sgemm_small,8192.0,gpu_and_memory_workload,Total SMSP Elapsed Cycles,cycle,804985081920
sgemm_medium,1024.0,speed_of_light,SM Frequency,Mhz,306.00
sgemm_medium,1024.0,speed_of_light,Elapsed Cycles,cycle,2450197
sgemm_medium,1024.0,speed_of_light,Memory Throughput,%,90.86
sgemm_medium,1024.0,speed_of_light,Duration,s,0.00801
sgemm_medium,1024.0,speed_of_light,L1/TEX Cache Throughput,%,91.13
sgemm_medium,1024.0,speed_of_light,L2 Cache Throughput,%,63.81
sgemm_medium,1024.0,speed_of_light,SM Active Cycles,cycle,2440848.38
sgemm_medium,1024.0,speed_of_light,Compute (SM) Throughput,%,56.07
sgemm_medium,1024.0,launch_statistics,Block Size,,64
sgemm_medium,1024.0,launch_statistics,Function Cache Configuration,,CachePreferNone
sgemm_medium,1024.0,launch_statistics,Grid Size,,1024
sgemm_medium,1024.0,launch_statistics,Registers Per Thread,register/thread,65
sgemm_medium,1024.0,launch_statistics,Shared Memory Configuration Size,Kbyte,102.40
sgemm_medium,1024.0,launch_statistics,Driver Shared Memory Per Block,Kbyte/block,1.02
sgemm_medium,1024.0,launch_statistics,Dynamic Shared Memory Per Block,byte/block,0
sgemm_medium,1024.0,launch_statistics,Static Shared Memory Per Block,Kbyte/block,4.10
sgemm_medium,1024.0,launch_statistics,# SMs,SM,8
sgemm_medium,1024.0,launch_statistics,Threads,thread,65536
sgemm_medium,1024.0,launch_statistics,Uses Green Context,,0
sgemm_medium,1024.0,launch_statistics,Waves Per SM,,9.14
sgemm_medium,1024.0,occupancy,Block Limit SM,block,16
sgemm_medium,1024.0,occupancy,Block Limit Registers,block,14
sgemm_medium,1024.0,occupancy,Block Limit Shared Mem,block,20
sgemm_medium,1024.0,occupancy,Block Limit Warps,block,24
sgemm_medium,1024.0,occupancy,Theoretical Active Warps per SM,warp,28
sgemm_medium,1024.0,occupancy,Theoretical Occupancy,%,58.33
sgemm_medium,1024.0,occupancy,Achieved Occupancy,%,56.41
sgemm_medium,1024.0,occupancy,Achieved Active Warps Per SM,warp,27.08
sgemm_medium,1024.0,gpu_and_memory_workload,Average L1 Active Cycles,cycle,2440848.38
sgemm_medium,1024.0,gpu_and_memory_workload,Total L1 Elapsed Cycles,cycle,19583744
sgemm_medium,1024.0,gpu_and_memory_workload,Average L2 Active Cycles,cycle,2441997.25
sgemm_medium,1024.0,gpu_and_memory_workload,Total L2 Elapsed Cycles,cycle,9800780
sgemm_medium,1024.0,gpu_and_memory_workload,Average SM Active Cycles,cycle,2440848.38
sgemm_medium,1024.0,gpu_and_memory_workload,Total SM Elapsed Cycles,cycle,19583744
sgemm_medium,1024.0,gpu_and_memory_workload,Average SMSP Active Cycles,cycle,2440746.28
sgemm_medium,1024.0,gpu_and_memory_workload,Total SMSP Elapsed Cycles,cycle,78334976
sgemm_medium,2048.0,speed_of_light,SM Frequency,Mhz,306.00
sgemm_medium,2048.0,speed_of_light,Elapsed Cycles,cycle,19408466
sgemm_medium,2048.0,speed_of_light,Memory Throughput,%,91.16
sgemm_medium,2048.0,speed_of_light,Duration,s,0.06343
sgemm_medium,2048.0,speed_of_light,L1/TEX Cache Throughput,%,91.29
sgemm_medium,2048.0,speed_of_light,L2 Cache Throughput,%,65.97
