Kernel Name,Kernel Size,Section,Metric Name,Metric Unit,Value
ft_sgemm_medium,6144.0,speed_of_light,SM Active Cycles,cycle,728500620.25
ft_sgemm_medium,6144.0,speed_of_light,Compute (SM) Throughput,%,59.32
ft_sgemm_medium,6144.0,launch_statistics,Block Size,,64
ft_sgemm_medium,6144.0,launch_statistics,Function Cache Configuration,,CachePreferNone
ft_sgemm_medium,6144.0,launch_statistics,Grid Size,,36864
ft_sgemm_medium,6144.0,launch_statistics,Registers Per Thread,register/thread,64
ft_sgemm_medium,6144.0,launch_statistics,Shared Memory Configuration Size,Kbyte,102.40
ft_sgemm_medium,6144.0,launch_statistics,Driver Shared Memory Per Block,Kbyte/block,1.02
ft_sgemm_medium,6144.0,launch_statistics,Dynamic Shared Memory Per Block,byte/block,0
ft_sgemm_medium,6144.0,launch_statistics,Static Shared Memory Per Block,Kbyte/block,4.13
ft_sgemm_medium,6144.0,launch_statistics,# SMs,SM,8
ft_sgemm_medium,6144.0,launch_statistics,Threads,thread,2359296
ft_sgemm_medium,6144.0,launch_statistics,Uses Green Context,,0
ft_sgemm_medium,6144.0,launch_statistics,Waves Per SM,,288
ft_sgemm_medium,6144.0,occupancy,Block Limit SM,block,16
ft_sgemm_medium,6144.0,occupancy,Block Limit Registers,block,16
ft_sgemm_medium,6144.0,occupancy,Block Limit Shared Mem,block,19
ft_sgemm_medium,6144.0,occupancy,Block Limit Warps,block,24
ft_sgemm_medium,6144.0,occupancy,Theoretical Active Warps per SM,warp,32
ft_sgemm_medium,6144.0,occupancy,Theoretical Occupancy,%,66.67
ft_sgemm_medium,6144.0,occupancy,Achieved Occupancy,%,66.45
ft_sgemm_medium,6144.0,occupancy,Achieved Active Warps Per SM,warp,31.90
ft_sgemm_medium,6144.0,gpu_and_memory_workload,Average L1 Active Cycles,cycle,728500620.25
ft_sgemm_medium,6144.0,gpu_and_memory_workload,Total L1 Elapsed Cycles,cycle,5937526536
ft_sgemm_medium,6144.0,gpu_and_memory_workload,Average L2 Active Cycles,cycle,739392546.50
ft_sgemm_medium,6144.0,gpu_and_memory_workload,Total L2 Elapsed Cycles,cycle,2962876772
ft_sgemm_medium,6144.0,gpu_and_memory_workload,Average SM Active Cycles,cycle,728500620.25
ft_sgemm_medium,6144.0,gpu_and_memory_workload,Total SM Elapsed Cycles,cycle,5937526536
ft_sgemm_medium,6144.0,gpu_and_memory_workload,Average SMSP Active Cycles,cycle,729666308.66
ft_sgemm_medium,6144.0,gpu_and_memory_workload,Total SMSP Elapsed Cycles,cycle,23750106144
ft_sgemm_medium,7168.0,speed_of_light,SM Frequency,Mhz,369.03
ft_sgemm_medium,7168.0,speed_of_light,Elapsed Cycles,cycle,1909991003
ft_sgemm_medium,7168.0,speed_of_light,Memory Throughput,%,53.12
ft_sgemm_medium,7168.0,speed_of_light,Duration,s,5.18
ft_sgemm_medium,7168.0,speed_of_light,L1/TEX Cache Throughput,%,56.64
ft_sgemm_medium,7168.0,speed_of_light,L2 Cache Throughput,%,32.61
ft_sgemm_medium,7168.0,speed_of_light,SM Active Cycles,cycle,1888551551.38
ft_sgemm_medium,7168.0,speed_of_light,Compute (SM) Throughput,%,34.77
ft_sgemm_medium,7168.0,launch_statistics,Block Size,,64
ft_sgemm_medium,7168.0,launch_statistics,Function Cache Configuration,,CachePreferNone
ft_sgemm_medium,7168.0,launch_statistics,Grid Size,,50176
ft_sgemm_medium,7168.0,launch_statistics,Registers Per Thread,register/thread,64
ft_sgemm_medium,7168.0,launch_statistics,Shared Memory Configuration Size,Kbyte,102.40
ft_sgemm_medium,7168.0,launch_statistics,Driver Shared Memory Per Block,Kbyte/block,1.02
ft_sgemm_medium,7168.0,launch_statistics,Dynamic Shared Memory Per Block,byte/block,0
ft_sgemm_medium,7168.0,launch_statistics,Static Shared Memory Per Block,Kbyte/block,4.13
ft_sgemm_medium,7168.0,launch_statistics,# SMs,SM,8
ft_sgemm_medium,7168.0,launch_statistics,Threads,thread,3211264
ft_sgemm_medium,7168.0,launch_statistics,Uses Green Context,,0
ft_sgemm_medium,7168.0,launch_statistics,Waves Per SM,,392
ft_sgemm_medium,7168.0,occupancy,Block Limit SM,block,16
ft_sgemm_medium,7168.0,occupancy,Block Limit Registers,block,16
ft_sgemm_medium,7168.0,occupancy,Block Limit Shared Mem,block,19
ft_sgemm_medium,7168.0,occupancy,Block Limit Warps,block,24
ft_sgemm_medium,7168.0,occupancy,Theoretical Active Warps per SM,warp,32
ft_sgemm_medium,7168.0,occupancy,Theoretical Occupancy,%,66.67
ft_sgemm_medium,7168.0,occupancy,Achieved Occupancy,%,66.50
ft_sgemm_medium,7168.0,occupancy,Achieved Active Warps Per SM,warp,31.92
ft_sgemm_medium,7168.0,gpu_and_memory_workload,Average L1 Active Cycles,cycle,1888551551.38
ft_sgemm_medium,7168.0,gpu_and_memory_workload,Total L1 Elapsed Cycles,cycle,16109829952
ft_sgemm_medium,7168.0,gpu_and_memory_workload,Average L2 Active Cycles,cycle,1961239768.25
ft_sgemm_medium,7168.0,gpu_and_memory_workload,Total L2 Elapsed Cycles,cycle,7639962036
ft_sgemm_medium,7168.0,gpu_and_memory_workload,Average SM Active Cycles,cycle,1888551551.38
ft_sgemm_medium,7168.0,gpu_and_memory_workload,Total SM Elapsed Cycles,cycle,16109829952
ft_sgemm_medium,7168.0,gpu_and_memory_workload,Average SMSP Active Cycles,cycle,1850153645.97
ft_sgemm_medium,7168.0,gpu_and_memory_workload,Total SMSP Elapsed Cycles,cycle,64439319808
ft_sgemm_medium,8192.0,speed_of_light,SM Frequency,Mhz,369.87
ft_sgemm_medium,8192.0,speed_of_light,Elapsed Cycles,cycle,5507551759
ft_sgemm_medium,8192.0,speed_of_light,Memory Throughput,%,29.83
ft_sgemm_medium,8192.0,speed_of_light,Duration,s,14.89
ft_sgemm_medium,8192.0,speed_of_light,L1/TEX Cache Throughput,%,29.78
ft_sgemm_medium,8192.0,speed_of_light,L2 Cache Throughput,%,18.27
ft_sgemm_medium,8192.0,speed_of_light,SM Active Cycles,cycle,5341871381.25
ft_sgemm_medium,8192.0,speed_of_light,Compute (SM) Throughput,%,19.55
ft_sgemm_medium,8192.0,launch_statistics,Block Size,,64
ft_sgemm_medium,8192.0,launch_statistics,Function Cache Configuration,,CachePreferNone
ft_sgemm_medium,8192.0,launch_statistics,Grid Size,,65536
ft_sgemm_medium,8192.0,launch_statistics,Registers Per Thread,register/thread,64
ft_sgemm_medium,8192.0,launch_statistics,Shared Memory Configuration Size,Kbyte,102.40
ft_sgemm_medium,8192.0,launch_statistics,Driver Shared Memory Per Block,Kbyte/block,1.02
ft_sgemm_medium,8192.0,launch_statistics,Dynamic Shared Memory Per Block,byte/block,0
ft_sgemm_medium,8192.0,launch_statistics,Static Shared Memory Per Block,Kbyte/block,4.13
